cantidad;C++;desv_estandar;lim_max;lim_min
100;0.000567;0.000165;0.000732;0.000402
1000;0.001388;0.000204;0.001592;0.001184
2000;0.00277;0.0002;0.00297;0.002569
3000;0.004932;0.000198;0.00513;0.004734
4000;0.00784;0.000115;0.007955;0.007725
5000;0.011518;0.000306;0.011824;0.011212
6000;0.017372;0.002291;0.019662;0.015081
7000;0.022372;0.002704;0.025076;0.019668
8000;0.027731;0.000381;0.028112;0.02735
9000;0.03324;0.000159;0.033399;0.03308
10000;0.044264;0.005229;0.049493;0.039035
20000;0.155018;0.004108;0.159127;0.15091
30000;0.345256;0.004813;0.35007;0.340443
40000;0.599238;0.006217;0.605455;0.593021
50000;0.945106;0.010825;0.955931;0.934281
