cantidad,C++,desv_estandar,lim_max,lim_min
100,0.00054,6.2e-05,0.000602,0.000478
1000,0.0042,0.003119,0.007319,0.00108
2000,0.00923,0.000409,0.009639,0.008821
3000,0.020784,0.001754,0.022538,0.01903
4000,0.03684,0.00091,0.03775,0.03593
5000,0.058489,0.000285,0.058774,0.058203
6000,0.08836,0.001533,0.089892,0.086827
7000,0.119168,0.001122,0.12029,0.118047
8000,0.158906,0.001598,0.160505,0.157308
9000,0.209791,0.00918,0.21897,0.200611
10000,0.254562,0.00789,0.262452,0.246672
20000,1.088809,0.008167,1.096975,1.080642
30000,2.574614,0.057651,2.632265,2.516963
40000,4.670932,0.089209,4.760141,4.581723
50000,7.311926,0.038472,7.350399,7.273454
