cantidad,C++,desv_estandar,lim_max,lim_min
100,0.000533,3.4e-05,0.000567,0.000499
1000,0.000923,3.6e-05,0.000959,0.000887
2000,0.001465,9e-05,0.001556,0.001375
3000,0.001893,5e-05,0.001943,0.001843
4000,0.002358,6.1e-05,0.002419,0.002296
5000,0.00309,0.000373,0.003463,0.002717
6000,0.003449,0.000175,0.003623,0.003274
7000,0.00626,0.004867,0.011127,0.001392
8000,0.004378,0.000259,0.004637,0.004119
9000,0.005047,0.000189,0.005236,0.004858
10000,0.005335,0.000297,0.005632,0.005039
20000,0.010452,0.000529,0.010981,0.009923
30000,0.015751,0.000578,0.016328,0.015173
40000,0.020355,0.000142,0.020496,0.020213
50000,0.025606,0.000265,0.025872,0.025341
