cantidad,C++,desv_estandar,lim_max,lim_min
100,0.000531,2.9e-05,0.00056,0.000501
1000,0.006025,0.008607,0.014631,-0.002582
2000,0.008384,0.005724,0.014108,0.002659
3000,0.017627,0.013963,0.03159,0.003664
4000,0.02121,0.006782,0.027992,0.014428
5000,0.027197,0.000474,0.027671,0.026723
6000,0.039137,0.00143,0.040567,0.037707
7000,0.051664,0.000391,0.052055,0.051273
8000,0.066706,0.000557,0.067263,0.066149
9000,0.083624,0.000264,0.083888,0.08336
10000,0.10276,0.000199,0.102959,0.102561
20000,0.403848,0.00289,0.406738,0.400958
30000,0.902256,0.003313,0.90557,0.898943
40000,1.652836,0.04999,1.702825,1.602846
50000,2.551786,0.093821,2.645606,2.457965
