cantidad,Golang,desv_estandar,lim_max,lim_min
100,0.00034,0.000277,0.000617,6.2e-05
1000,0.001477,0.000428,0.001905,0.001049
2000,0.003846,0.000178,0.004024,0.003668
3000,0.007909,0.000213,0.008121,0.007696
4000,0.013814,0.000629,0.014442,0.013185
5000,0.021313,0.000226,0.021539,0.021087
6000,0.031634,0.0011,0.032733,0.030534
7000,0.046711,0.005821,0.052532,0.04089
8000,0.057926,0.000417,0.058344,0.057509
9000,0.075737,0.000391,0.076128,0.075346
10000,0.095036,0.000408,0.095444,0.094628
20000,0.442731,0.013076,0.455807,0.429655
30000,1.039052,0.015263,1.054315,1.023788
40000,1.89731,0.035354,1.932663,1.861956
50000,2.999633,0.039834,3.039468,2.959799
