cantidad,Golang,desv_estandar,lim_max,lim_min
100,0.000429,0.000367,0.000796,6.2e-05
1000,0.000971,0.000206,0.001177,0.000765
2000,0.00162,0.000278,0.001898,0.001342
3000,0.002489,0.000452,0.002941,0.002038
4000,0.003235,0.000381,0.003616,0.002855
5000,0.004025,0.000274,0.004299,0.00375
6000,0.005202,0.000436,0.005638,0.004766
7000,0.005494,0.000316,0.005811,0.005178
8000,0.006255,0.000319,0.006573,0.005936
9000,0.008111,0.00061,0.008721,0.007501
10000,0.008815,0.000114,0.008929,0.008701
20000,0.017305,0.002439,0.019744,0.014865
30000,0.023033,0.000283,0.023316,0.022751
40000,0.030863,0.000457,0.03132,0.030406
50000,0.038622,0.001223,0.039845,0.037398
