cantidad,Golang,desv_estandar,lim_max,lim_min
100,0.000233,0.000262,0.000495,-3e-05
1000,0.000694,0.000202,0.000896,0.000492
2000,0.002188,0.001663,0.00385,0.000525
3000,0.001742,0.000207,0.001948,0.001535
4000,0.002316,0.000223,0.002539,0.002093
5000,0.003177,0.00019,0.003367,0.002986
6000,0.003416,0.000159,0.003576,0.003257
7000,0.004177,0.000253,0.00443,0.003924
8000,0.004597,0.000297,0.004894,0.0043
9000,0.005236,0.000265,0.005501,0.00497
10000,0.005903,0.000202,0.006105,0.005702
20000,0.011642,0.00019,0.011833,0.011452
30000,0.018196,0.000386,0.018582,0.017809
40000,0.023219,0.000234,0.023454,0.022985
50000,0.030996,0.003827,0.034823,0.027169
