cantidad,Golang,desv_estandar,lim_max,lim_min
100,0.000422,0.000212,0.000634,0.00021
1000,0.001102,2.4e-05,0.001125,0.001078
2000,0.004712,0.002605,0.007317,0.002107
3000,0.008327,0.000347,0.008674,0.007979
4000,0.015216,0.000272,0.015487,0.014944
5000,0.023363,0.000289,0.023652,0.023073
6000,0.039792,0.006679,0.046471,0.033113
7000,0.05184,0.000344,0.052184,0.051496
8000,0.074552,0.003197,0.077749,0.071355
9000,0.099216,0.012354,0.11157,0.086862
10000,0.114273,0.000478,0.114751,0.113795
20000,0.516882,0.005456,0.522338,0.511426
30000,1.176029,0.01479,1.19082,1.161239
40000,2.139661,0.048178,2.187839,2.091483
50000,3.354922,0.037221,3.392142,3.317701
