cantidad,Python,desv_estandar,lim_max,lim_min
100,0.001179,0.000412,0.001591,0.000767
1000,0.011801,0.0004,0.012201,0.011401
2000,0.036404,0.000486,0.03689,0.035918
3000,0.077004,0.000543,0.077547,0.076461
4000,0.146665,0.007182,0.153847,0.139482
5000,0.230609,0.00242,0.233029,0.22819
6000,0.34093,0.005628,0.346558,0.335302
7000,0.467704,0.004512,0.472217,0.463192
8000,0.676307,0.045625,0.721932,0.630681
9000,0.839014,0.013345,0.85236,0.825669
10000,1.095616,0.065637,1.161254,1.029979
20000,4.26201,0.03094,4.29295,4.231069
30000,9.677808,0.236474,9.914282,9.441333
40000,17.100235,0.29154,17.391776,16.808695
50000,27.796896,0.641884,28.43878,27.155012
