cantidad,Python,desv_estandar,lim_max,lim_min
100,0.0018,0.0004,0.0022,0.001399
1000,0.1342,0.002401,0.136601,0.131799
2000,0.5764,0.043482,0.619882,0.532919
3000,1.232601,0.004318,1.236919,1.228284
4000,2.230502,0.042581,2.273083,2.187921
5000,3.5132,0.055782,3.568983,3.457418
6000,5.058199,0.163511,5.221709,4.894688
7000,6.958199,0.194601,7.1528,6.763598
8000,9.105999,0.21782,9.323819,8.88818
9000,11.510303,0.144547,11.65485,11.365756
10000,14.1332,0.269819,14.403019,13.863381
20000,56.44461,0.485198,56.929808,55.959413
30000,127.527399,0.335833,127.863232,127.191566
40000,226.8496,0.944975,227.794575,225.904625
50000,366.973335,15.659894,382.633229,351.313441
