cantidad,Python,desv_estandar,lim_max,lim_min
100,0.0006,0.00049,0.001091,0.00011
1000,0.003,1e-06,0.003001,0.003
2000,0.0074,0.000491,0.007891,0.00691
3000,0.0118,0.0004,0.0122,0.0114
4000,0.0162,0.001469,0.01767,0.014731
5000,0.0214,0.001358,0.022758,0.020043
6000,0.053601,0.027376,0.080977,0.026225
7000,0.0302,0.0004,0.0306,0.0298
8000,0.038199,0.004167,0.042366,0.034033
9000,0.043999,0.007043,0.051042,0.036957
10000,0.045199,0.0004,0.0456,0.044799
20000,0.0988,0.005601,0.1044,0.093199
30000,0.153799,0.007222,0.161021,0.146578
40000,0.2198,0.018808,0.238608,0.200992
50000,0.263199,0.000748,0.263947,0.26245
