cantidad,Python,desv_estandar,lim_max,lim_min
100,0.000993,1.5e-05,0.001008,0.000978
1000,0.0092,0.0064,0.0156,0.0028
2000,0.0176,0.00933,0.02693,0.008269
3000,0.020801,0.000748,0.021549,0.020052
4000,0.0284,0.0048,0.033201,0.0236
5000,0.04,0.012538,0.052538,0.027462
6000,0.041799,0.001166,0.042966,0.040633
7000,0.052201,0.003543,0.055744,0.048657
8000,0.056599,0.001356,0.057955,0.055243
9000,0.065,0.000895,0.065894,0.064105
10000,0.074599,0.0012,0.075799,0.073399
20000,0.1538,0.000749,0.154549,0.153051
30000,0.257399,0.024021,0.28142,0.233378
40000,0.341,0.022135,0.363135,0.318865
50000,0.431598,0.001743,0.433342,0.429855
