cantidad,Python,desv_estandar,lim_max,lim_min
100,0.001999,1e-06,0.002001,0.001998
1000,0.201399,0.066018,0.267418,0.135381
2000,0.6088,0.014274,0.623074,0.594525
3000,1.3838,0.049297,1.433097,1.334504
4000,2.465399,0.056237,2.521636,2.409162
5000,3.838001,0.071756,3.909756,3.766245
6000,5.5782,0.167367,5.745567,5.410833
7000,7.695804,0.399161,8.094965,7.296643
8000,10.266799,0.444722,10.711522,9.822077
9000,12.484799,0.234154,12.718953,12.250645
10000,15.568,0.241852,15.809852,15.326147
20000,62.645672,1.58434,64.230012,61.061331
30000,143.626945,5.320718,148.947663,138.306228
40000,259.757819,13.970079,273.727898,245.787739
50000,385.468399,3.933536,389.401935,381.534863
